iter	RMSE
0	383.0595326
1	376.3712638
2	369.0951497
3	362.6541121
4	356.2822261
5	350.3542934
6	344.3085696
7	338.471352
8	332.6655792
9	327.5271866
10	322.0281045
11	317.0005803
12	312.4242679
13	307.8535571
14	303.3157747
15	299.1728039
16	294.3475164
17	289.938392
18	285.4119044
19	281.4641666
20	277.5125957
21	274.1715861
22	270.4317675
23	266.7641325
24	262.9608272
25	259.7742593
26	256.2006355
27	253.2002945
28	250.1553076
29	247.207473
30	244.444853
31	241.5747328
32	238.6870563
33	236.1413556
34	233.6268828
35	231.2428021
36	228.8233968
37	226.4961266
38	224.4333862
39	222.6617729
40	220.4375702
41	218.683197
42	217.14411
43	215.4439548
44	213.5027113
45	211.3336417
46	209.6328414
47	208.1059896
48	206.2529286
49	204.3492011
50	202.5358052
51	200.9368321
52	199.3416533
53	197.6491941
54	196.0649592
55	194.6533681
56	193.3730629
57	191.9598436
58	190.5075298
59	189.3650132
60	188.1516926
61	186.9722695
62	185.6680527
63	184.4107643
64	183.0868019
65	182.1812925
66	181.1774592
67	180.280246
68	179.1995868
69	178.4543186
70	177.2979558
71	176.2544799
72	175.3207397
73	174.4413502
74	173.5805578
75	172.6739178
76	171.6536739
77	170.9555473
78	170.1302562
79	169.2778038
80	168.7092408
81	167.9421752
82	167.0446014
83	166.4784228
84	165.7204539
85	164.805136
86	164.2508125
87	163.5465988
88	162.9543756
89	162.4142236
90	161.7398583
91	161.1546546
92	160.4650449
93	159.7971109
94	159.2991097
95	158.6657451
96	158.2416041
97	157.7955803
98	157.1453334
99	156.7944741
100	156.2718315
101	155.6285038
102	155.1736313
103	154.6927007
104	154.1645671
105	153.8686567
106	153.3937321
107	152.9701421
108	152.4714889
109	152.0324118
110	151.6161668
111	151.1354432
112	150.7262349
113	150.356862
114	149.9553449
115	149.377336
116	149.0056042
117	148.7095345
118	148.3807019
119	148.0772087
120	147.8509484
121	147.5034689
122	146.9688269
123	146.681685
124	146.398406
125	146.0704416
126	145.6796067
127	145.2467184
128	144.8159066
129	144.3673651
130	144.1122797
131	144.0474182
132	143.8148087
133	143.5205462
134	143.2768073
135	143.0952974
136	142.7871047
137	142.4309432
138	142.0639764
139	141.6066535
140	141.4303796
141	141.1282008
142	140.763444
143	140.5004272
144	140.1620667
145	140.002745
146	139.8241321
147	139.5828142
148	139.1152934
149	138.7209677
150	138.4170578
151	138.1070074
152	137.8354191
153	137.5274829
154	137.3552514
155	137.0667689
156	136.8596978
157	136.5647213
158	136.2258738
159	135.7878483
160	135.5548147
161	135.2840276
162	134.931855
163	134.6859974
164	134.3751145
165	134.1410938
166	133.5899846
167	133.3416841
168	133.1136685
169	132.8560098
170	132.5262005
171	132.2686875
172	131.9166327
173	131.5462592
174	131.3427108
175	131.1002126
176	130.7931385
177	130.5258628
178	130.333699
179	130.05597
180	129.8372935
181	129.453075
182	129.1174315
183	128.9825534
184	128.8109752
185	128.5900555
186	128.2922591
187	127.9599122
188	127.7926549
189	127.4960019
190	127.1895773
191	126.8166909
192	126.6382865
193	126.3992796
194	126.2440574
195	126.0718655
196	125.8150817
197	125.5552722
198	125.3235483
199	125.0324289
200	124.7730435
201	124.6549443
202	124.5036283
203	124.3840739
204	124.2295405
205	124.0284224
206	123.8357876
207	123.6625416
208	123.3870454
209	123.1056057
210	122.9498743
211	122.6637633
212	122.4682186
213	122.2224925
214	122.0498254
215	121.8741662
216	121.781241
217	121.7125294
218	121.3600153
219	121.1548267
220	120.9545196
221	120.7391965
222	120.4000222
223	120.1652756
224	119.9844453
225	119.8610854
226	119.5822865
227	119.482548
228	119.1458602
229	119.0207881
230	118.8801171
231	118.6784661
232	118.4648177
233	118.3175387
234	118.0506701
235	117.8207815
236	117.6123379
237	117.4491564
238	117.2899019
239	117.1009469
240	116.7765217
241	116.6665646
242	116.4824465
243	116.2785624
244	116.2219638
245	116.1588548
246	116.045245
